id_persona,edad,departamento,zona,ingreso_mensual,ahorro_mensual,acceso_credito,tipo_institucion,frecuencia_ahorro,historial_crediticio,tiene_cuenta_bancaria
1,46,Junín,Urbana,1635.14,371.68,Sí,Banco,Nunca,Regular,Sí
2,29,Lima,Urbana,981.99,592.52,No,Caja Municipal,Mensual,Malo,Sí
3,45,Lima,Rural,1063.65,518.32,Sí,Ninguna,Ocasional,Regular,Sí
4,51,Apurímac,Urbana,963.39,299.33,Sí,Financiera,Nunca,Malo,Sí
5,51,Apurímac,Urbana,525.88,5.11,Sí,Financiera,Mensual,Malo,Sí
6,19,Tacna,Urbana,1783.18,58.96,No,Caja Municipal,Nunca,Bueno,Sí
7,45,Junín,Urbana,1916.1,308.22,Sí,Banco,Ocasional,Bueno,No
8,28,Apurímac,Urbana,983.05,327.35,No,Cooperativa,Mensual,Malo,No
9,43,Lima,Urbana,1290.69,252.0,No,Cooperativa,Mensual,Bueno,Sí
10,38,Lima,Urbana,1420.38,355.1,No,Caja Municipal,Mensual,Malo,Sí
11,31,Apurímac,Urbana,758.38,201.38,Sí,Caja Municipal,Nunca,Regular,Sí
12,36,Puno,Urbana,1704.97,463.82,No,Caja Municipal,Mensual,Malo,Sí
13,35,Loreto,Urbana,1204.0,99.39,Sí,Caja Municipal,Nunca,Malo,Sí
14,31,Loreto,Rural,1835.67,123.66,No,Banco,Ocasional,Bueno,Sí
15,58,Puno,Rural,1746.63,281.43,Sí,Caja Municipal,Mensual,Malo,Sí
16,43,Lima,Rural,884.42,242.34,No,Financiera,Ocasional,Bueno,Sí
17,63,Lima,Urbana,863.7,522.43,Sí,Caja Municipal,Mensual,Malo,No
18,37,Junín,Rural,2925.87,586.81,Sí,Financiera,Nunca,Bueno,No
19,53,Apurímac,Rural,542.46,426.18,No,Caja Municipal,Mensual,Bueno,No
20,54,Junín,Urbana,1308.98,264.03,No,Ninguna,Mensual,Bueno,Sí
21,37,Lima,Urbana,2278.57,287.02,Sí,Caja Municipal,Mensual,Malo,No
22,39,Apurímac,Rural,1795.31,322.74,No,Ninguna,Mensual,Malo,Sí
23,61,Apurímac,Urbana,2179.37,326.9,Sí,Caja Municipal,Mensual,Regular,Sí
24,61,Junín,Urbana,836.74,130.07,Sí,Caja Municipal,Mensual,Nulo,No
25,19,Loreto,Urbana,1502.15,202.85,Sí,Banco,Ocasional,Regular,No
26,62,Puno,Rural,1974.19,478.95,No,Banco,Nunca,Bueno,Sí
28,56,Lima,Urbana,1660.58,197.1,Sí,Banco,Mensual,Regular,Sí
29,64,Loreto,Urbana,1001.36,183.76,Sí,Financiera,Mensual,Regular,Sí
